,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Body weight,,Back,,,,,,,,,Chest,,,,,,,,,Legs,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 9,69.7,,Date,Exercise,Set 1,Set 2,Set 3,Set 4,Weight,RPE,,Date,Exercise,Set 1,Set 2,Set 3,Set 4,Weight,RPE,,Date,Exercise,Set 1,Set 2,Set 3,Set 4,Weight,RPE,,,,,,,,,,,,,,,,,,,
Jan 10,,,,,,,,,,,,,,,,,,,,,Jan 7,Perfect Squats,8,8,8,8,10,8,,,,,,,,,,,,,,,,,,,
Jan 11,71.5,,,,,,,,,,,,,,,,,,,,1450,Leg Press,7,8,8,8,0,10,,,,,,,,,,,,,,,,,,,
Jan 12,,,,,,,,,,,,,,,,,,,,,1545,Leg Extensions,10,10,10,,35,10,,,,,,,,,,,,,,,,,,,
Jan 13,70.75,,,,,,,,,,,,,,,,,,,,,Seated Leg Curls,8,10,9,14,42.5,5,,,,,,,,,,,,,,,,,,,
Jan 14,72.15,,,,,,,,,,,,,,,,,,,,,Hip Abduction 3/12,10,5,12/57.5,,80,,,,,,,,,,,,,,,,,,,,
Jan 15,71.5,,,,,,,,,,,,,,,,,,,,,Hip Adduction 3/12,12,12,14,X,65,8,,,,,,,,,,,,,,,,,,,
Jan 17,73.13,,Jan 9,Pull-ups,6,6,6,6,0,8 (Interrupted by forearm fatiuge,,Jan 10,FliesPec Deck Fly,12/40kg,10/45kg,10/45kg,,,,,Jan 11,Perfect Squats 4/9,9,9,9,9,10,10,,,,,,,,,,,,,,,,,,,
