,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr 7,Pull ups,x2,9,6+4,,,,,Apr 8,Smith machine incline,2/?/55,5/40 warmup,6/55,3/55,,,,,,,,,,,,,
,,1906,Seated row,2/12/55,16/50,10/55,,,Retain 50 / focus on proper form,,1625,Incline Chest press machine,2/12/30,9.5/30,6/30,,,,,,,,,,,,,,
,,2008,Lat cable pull downs,2/12/41,13.5/41,12/41,,,Vary grip width,,,Pec deck flies,2/f/25,10 w/p/35,9w/p/35,,,Stick to 35,,,,,,,,,,,
,,,Cable rows,2/12/45,8/45+4/36,12/36,,,Lower weight,,,Shoulder press,2/12/30,12/30,9/30,,,,,,,,,,,,,,
,,,Lateral Hammer curls,2/8/14,6/14,6/14,,,Retain 14,,,Tricep rope pull down,2/12/27.5,,,,,,,,,,,,,,,,
,,,Reverse Curls,2/10/15,16/15,15/15,,,,,,,,,,,,,,,,,,,,,,,
,,,Preacher curls,2/10/40,6/45+6/30,6/40+5/30,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,June 24,Pull ups,8/3,10,6+4,6,,,,Jun 25,Smith machine BP,3/8/50,7/50,4/50,6/45+6/40,,,,Jun ,,,,,,,,,
,,,Cable rows,8/3/45.5,7,7.5,7,,,,,Chest press,3/10/45,7/45,9.5/45,7/45,,Stick with 45,,,,,,,,,,,
,,,Lat pulldowns,10/3/45,14/40,9/45,9/45,,,,,Shoulder Press,3/10/25,11.5/25,7/30,6/25,,9/25?,,,,,,,,,,,
,,,Seated rows,10/3/25,8,10,10,,,,,Tricep pull downs,3/10/27.5,8/32,7/27.5,6/27.5,,,,,,,,,,,,,
,,,Lat rope pull downs,10/3/36,8,7,6,,Lower weight?,,,Overhead tricep PD,3/10/32,7/32,12/32,8/32,,,,,,,,,,,,,
,,,Precher curls,10/3/40,9,7,4,,,,,,,,,,,,,,,,,,,,,,
,,,Reverse curls,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jun 29,Pull ups,8/3,8,8,8,,Maybe 9,,Jun 30,Pull ups,8/3,8,8,8,,Maybe 9,,Jul 1,Perfect squats,8/3/10,10/0,10/10,10/10,,,,Jul 2
,,805,Seated rows,8/3/30,12,12,12,,,,800,Seated rows,8/3/30,12,12,12,,,,,Hip adduction,10/3/65,12/50,15/65,,,,,
,,930,Lat pull downs,10/3/25,11,12,11,,,,920,Lat pull downs,10/3/25,11,12,11,,,,,Leg press,12/3/2000,10/0,12/0,,,,,
,,,T-bar rows,10/3/15,10,12.5,12,,,,,T-bar rows,10/3/15,10,12.5,12,,,,,,,,,,,,,
,,,Lat rope PDs,10/3/36,12,10.5,12,,,,,Lat rope PDs,10/3/36,12,10.5,12,,,,,,,,,,,,,
,,,Reverse curls,12/3/15,12,12,12,,,,,Reverse curls,12/3/15,12,12,12,,,,,,,,,,,,,
,,,Preacher Curls,10/3/40,10,5+4/30,7.5/35,,lower to 35,,,Preacher Curls,10/3/40,10,5+4/30,7.5/35,,lower to 35,,,,,,,,,,,
