log_date,muscle_group,exercise,set_number,reps,reps_raw,weight_kg,weight_raw,rpe,notes
2026-01-09,Back,Neutral Grip Pull Ups,2,,4 (forearms almost failed before back),,,,
2026-01-13,Back,Nutral Grip Pull ups,2,,7 (beginning to fail at 5),,,Maybe 5 is the optimal,
2026-01-17,Back,Neutral Grip Pull ups,2,,5+1 negative,,,10 Negatives do work,
2026-01-17,Back,Neutral Grip Pull ups,3,,4+3 negatives,,,10 Negatives do work,
2026-01-17,Back,Neutral Grip Pull ups,4,,4+3 negatives,,,10 Negatives do work,
2026-02-01,Back,Lat pull downs,4,,To failure (8),,,,
2026-02-05,Back,Preacher Curls,2,,9 (failed to go all the way up at 9),,,,Plan: 3/10/30
2026-02-20,Back,N-grip Pull ups to Failure x2,1,,6.5,,,decrease to 2 sets,
2026-02-20,Back,N-grip Pull ups to Failure x2,2,,5.5,,,decrease to 2 sets,
2026-02-24,Back,Lat cable rows 3/10/40 (pause for 3 seconds),1,,,,,,
2026-02-24,Back,Preacher Curls,1,,,,,,Plan: 3/10/35
2026-03-05,Back,Reverse Curls,1,,,,,,Plan: 3/12/10
2026-03-11,Back,Lat cable rows,1,,2/10/40 (pause for 3 seconds),,,,
2026-03-11,Back,Back/8,1,,,,,,
2026-03-18,Back,Pull ups,1,,x2,,,,
2026-03-18,Back,Pull ups,2,,8+5+4,,,,
2026-03-18,Back,Pull ups,3,,5+3,,,,
2026-03-18,Back,Barbell rows,1,,2/15/30,,,,
2026-03-18,Back,Lat pull downs,1,,2/20/33,,,Increase weight to 36,
2026-03-18,Back,Cable rows,1,,2/15/40,,,,
2026-03-18,Back,Reverse Curls,1,,2/12/20,,,,
2026-03-18,Back,Preacher Curls,1,,2/8/45,,,,
2026-03-18,Back,Preacher Curls,2,,6/45+3/35,,,,
2026-03-18,Back,Back/8 + Bi/4,1,,,,,,
2026-03-25,Back,Pull ups,1,,x2,,,,
2026-03-25,Back,Pull ups,2,,8+2+4,,,,
2026-03-25,Back,Pull ups,3,,0+6.5+4,,,,
2026-03-25,Back,NG pull ups,1,,x1,,,,
2026-03-25,Back,T-bar rows,1,,2/10/25,,,,
2026-03-25,Back,T-bar rows,3,,9/25+5/15,,,,
2026-03-25,Back,Lat cable pull downs,1,,2/20/36,,,,
2026-03-25,Back,Cable rows,1,,2/10/45,,,,
2026-03-25,Back,Reverse Curls,1,,2/15/15,,,,
2026-03-25,Back,Barbell Curls,1,,2/10/20,,,,
2026-04-01,Back,Pull ups,1,,x2,,,,
2026-04-01,Back,Pull ups,2,,9+4,,,,
2026-04-01,Back,Pull ups,3,,5+4,,,,
2026-04-01,Back,NG pull ups,1,,x1,,,,
2026-04-01,Back,Seated row,1,,2/12/60,,,,
2026-04-01,Back,Lat cable pull downs,1,,2/12/41,,,,
2026-04-01,Back,Lat cable pull downs,2,,9/45+7/35,,,,
2026-04-01,Back,Cable rows,1,,2/12/45,,,,
2026-04-01,Back,Reverse Curls,1,,2/15/15,,,,
2026-04-01,Back,Biceps Curl,1,,2/15/35,,,,
2026-04-01,Back,Preacher curls,1,,1/12/40,,,,
2026-04-07,Back,Pull ups,1,,x2,,,,
2026-04-07,Back,Pull ups,3,,6+4,,,,
2026-04-07,Back,Seated row,1,,2/12/55,,,Retain 50 / focus on proper form,
2026-04-07,Back,Lat cable pull downs,1,,2/12/41,,,Vary grip width,
2026-04-07,Back,Cable rows,1,,2/12/45,,,Lower weight,
2026-04-07,Back,Cable rows,2,,8/45+4/36,,,Lower weight,
2026-04-07,Back,Lateral Hammer curls,1,,2/8/14,,,Retain 14,
2026-04-07,Back,Reverse Curls,1,,2/10/15,,,,
2026-04-07,Back,Preacher curls,1,,2/10/40,,,,
2026-04-07,Back,Preacher curls,2,,6/45+6/30,,,,
2026-04-07,Back,Preacher curls,3,,6/40+5/30,,,,
2026-04-12,Back,Pullups,1,,x2,,,,
2026-04-12,Back,Seated row,1,,2/12/55,,,,
2026-04-12,Back,Lat cable pull downs,1,,2/10/45,,,,
2026-04-12,Back,Seated rows,1,,2/10/45,,,,
2026-04-12,Back,Seated rows,3,,4/45+4/36,,,,
2026-04-12,Back,Lateral Hammer curls,1,,2/7/12,,,,
2026-04-12,Back,Lateral Hammer curls,2,,10+2,,,,
2026-04-12,Back,Lateral Hammer curls,3,,10+3,,,,
2026-04-12,Back,Reverse curls,1,,2/15/15,,,,
2026-04-12,Back,Arm Curls,1,,2/10/25,,,,
2026-01-14,Chest,Chest Press (drop set),3,,5kg to failure,,,Adding some drop sets to the end of my workout sounds good,
2026-01-18,Chest,Pec Dec flies,4,,7 (without full ROM),,,Should reduce weight and retain reps,
2026-02-06,Chest,Pec Dec flies,2,,8 (Beginning to fail at 6),,,,Plan: 3/8/40
2026-02-10,Chest,Overhead Tricep Rope Pull down,3,,8/32 + 4/27.5,,,,Plan: 2/10/27.5
2026-02-14,Chest,Pec Dec flies,1,,,,,,Plan: 3/9/30
2026-02-14,Chest,Dumbell Chest Press 3/10/14ea,1,,,,,,
2026-02-21,Chest,Smith Machine Incline Bench,1,,Warmup,,8/40,Feels Fucking Amazing / Align the bar right above my nipples / Decrease weight to 40 and focus on consistent reps or 7/45 * 2 + 8/40 * 2,Plan: 3/9/45
2026-02-21,Chest,Machine Chest Press,1,,testing other machines,,,,Plan: 3/10/40
2026-02-25,Chest,Dumbell Chest Press 3/12/10ea,1,,Pass,,,,
2026-02-25,Chest,Pec Dec flies,1,,,,,,Plan: 3/10/35
2026-02-25,Chest,Tricep Rope Pull down,2,,7/36 + 5/32,,,,Plan: 2/12/27.5
2026-03-06,Chest,Overhead Tricep Rope Pull down,2,,5/41+4/36,,,,Plan: 2/12/36
2026-03-06,Chest,Smith Machine Incline,1,,2/6/50,,,,
2026-03-06,Chest,Machine Chest Press,1,,2/10/50,,,,
2026-03-06,Chest,Pec Dec flies,1,,2/10/50,,,,
2026-03-06,Chest,Dumbell Chest Press,1,,2/12/12,,,,
2026-03-06,Chest,Lateral Raises,1,,2/f/6,,,,
2026-03-06,Chest,Military press,1,,2/10/25,,,,
2026-03-06,Chest,Overhead Tricep Rope Pulldown,1,,2/12/41,,,,
2026-03-06,Chest,Tricep rope pulldown,1,,2/12/27,,,,
2026-03-26,Chest,Incline bench,1,,2/8/50,,,,
