log_date,muscle_group,exercise,set_number,reps,reps_raw,weight_kg,weight_raw,rpe,notes
2026-01-09,Back,Pull-ups,1,6,6,0.0,0,8 (Interrupted by forearm fatiuge,
2026-01-09,Back,Pull-ups,2,6,6,0.0,0,8 (Interrupted by forearm fatiuge,
2026-01-09,Back,Pull-ups,3,6,6,0.0,0,8 (Interrupted by forearm fatiuge,
2026-01-09,Back,Pull-ups,4,6,6,0.0,0,8 (Interrupted by forearm fatiuge,
2026-01-09,Back,Neutral Grip Pull Ups,1,5,5,,,,
2026-01-09,Back,Neutral Grip Pull Ups,2,,4 (forearms almost failed before back),,,,
2026-01-09,Back,Lat Pull downs,1,10,10,36.0,36,8 (also interrupted by FA),
2026-01-09,Back,Lat Pull downs,2,11,11,36.0,36,8 (also interrupted by FA),
2026-01-09,Back,T-bar rows,1,12,12,15.0,15,7 increase weight or do 12 reps,
2026-01-09,Back,T-bar rows,2,10,10,15.0,15,7 increase weight or do 12 reps,
2026-01-09,Back,T-bar rows,3,10,10,15.0,15,7 increase weight or do 12 reps,
2026-01-09,Back,T-bar rows,4,15,15,15.0,15,7 increase weight or do 12 reps,
2026-01-09,Back,Seated Cable Rows,1,10,10 / 35kg,35.0,12 ea,,
2026-01-09,Back,Seated Cable Rows,2,,12 each (20kg),12.0,12 ea,,
2026-01-09,Back,Seated Cable Rows,3,40,40kg,12.0,12 ea,,
2026-01-09,Back,Seated Cable Rows,4,12,12 ea / 20kg,20.0,12 ea,,
2026-01-09,Back,Hammer Curls,1,6,6 ea / 12kg,12.0,,,
2026-01-09,Back,Hammer Curls,2,6,6ea / 12kg,12.0,,,
2026-01-09,Back,Hammer Curls,3,10,10ea / 10kg,10.0,,,
2026-01-09,Back,Hammer Curls,4,10,10ea / 10kg,10.0,,,
2026-01-09,Back,Preacher Curls,1,10,10,25.0,25,(Make sure elbows touch the supporting pad),
2026-01-09,Back,Preacher Curls,2,9,9,25.0,25,(Make sure elbows touch the supporting pad),
2026-01-09,Back,Preacher Curls,3,7,7,25.0,25,(Make sure elbows touch the supporting pad),
2026-01-13,Back,Pull-ups,1,6,6,0.0,0,6 could be the sweet spot? + focus more on negatives,
2026-01-13,Back,Pull-ups,2,7,7,0.0,0,6 could be the sweet spot? + focus more on negatives,
2026-01-13,Back,Pull-ups,3,,5 (did more partial reps to reach 9),0.0,0,6 could be the sweet spot? + focus more on negatives,
2026-01-13,Back,Pull-ups,4,,5 (did more partial reps to reach failure),0.0,0,6 could be the sweet spot? + focus more on negatives,
2026-01-13,Back,Nutral Grip Pull ups,1,7,7,,,Maybe 5 is the optimal,
2026-01-13,Back,Nutral Grip Pull ups,2,,7 (beginning to fail at 5),,,Maybe 5 is the optimal,
2026-01-13,Back,Nutral Grip Pull ups,3,5,5,,,Maybe 5 is the optimal,
2026-01-13,Back,Nutral Grip Pull ups,4,5,5,,,Maybe 5 is the optimal,
2026-01-13,Back,T-bar rows,1,12,12,20.0,20,Increased weight to 20 (Ain't bad but think I can do more; probably increase weight and decrease reps?),
2026-01-13,Back,T-bar rows,2,12,12,20.0,20,Increased weight to 20 (Ain't bad but think I can do more; probably increase weight and decrease reps?),
2026-01-13,Back,T-bar rows,3,12,12,20.0,20,Increased weight to 20 (Ain't bad but think I can do more; probably increase weight and decrease reps?),
2026-01-13,Back,T-bar rows,4,12,12,20.0,20,Increased weight to 20 (Ain't bad but think I can do more; probably increase weight and decrease reps?),
2026-01-13,Back,Seated cable rows,1,12,12ea/20kgs,20.0,20,Warming up with independent set and moving on to both feels good.,
2026-01-13,Back,Seated cable rows,2,12,12ea,20.0,20,Warming up with independent set and moving on to both feels good.,
2026-01-13,Back,Seated cable rows,3,10,10/35kgs,35.0,20,Warming up with independent set and moving on to both feels good.,
2026-01-13,Back,Seated cable rows,4,,10+to failure,20.0,20,Warming up with independent set and moving on to both feels good.,
2026-01-13,Back,Hammer Curls,1,10,10ea,10.0,10,Should Increase reps,
2026-01-13,Back,Hammer Curls,2,10,10ea,10.0,10,Should Increase reps,
2026-01-13,Back,Hammer Curls,3,10,10ea,10.0,10,Should Increase reps,
2026-01-13,Back,Hammer Curls,4,,10ea (out of spite addition; previous 2 sets were interrupted),10.0,10,Should Increase reps,
2026-01-13,Back,Preacher Curls,1,10,10,25.0,25,,
2026-01-13,Back,Preacher Curls,2,,6+partial reps of 2,25.0,25,,
2026-01-13,Back,Preacher Curls,3,6,6,25.0,25,,
2026-01-17,Back,Pull ups,1,6,6,0.0,0,9 (negatives seem to be effective),
2026-01-17,Back,Pull ups,2,6,6,0.0,0,9 (negatives seem to be effective),
2026-01-17,Back,Pull ups,3,,5+3 negatives,0.0,0,9 (negatives seem to be effective),
2026-01-17,Back,Pull ups,4,,4+3negatives,0.0,0,9 (negatives seem to be effective),
2026-01-17,Back,Neutral Grip Pull ups,1,5,5,,,10 Negatives do work,
2026-01-17,Back,Neutral Grip Pull ups,2,,5+1 negative,,,10 Negatives do work,
2026-01-17,Back,Neutral Grip Pull ups,3,,4+3 negatives,,,10 Negatives do work,
2026-01-17,Back,Neutral Grip Pull ups,4,,4+3 negatives,,,10 Negatives do work,
2026-01-17,Back,T-bar rows 4/6/30kgs,1,8,8,30.0,30,(Pratice proper form with 25kgs next time),
2026-01-17,Back,T-bar rows 4/6/30kgs,2,7,7,30.0,30,(Pratice proper form with 25kgs next time),
2026-01-17,Back,T-bar rows 4/6/30kgs,3,7,7,30.0,30,(Pratice proper form with 25kgs next time),
2026-01-17,Back,T-bar rows 4/6/30kgs,4,7,7,30.0,30,(Pratice proper form with 25kgs next time),
2026-01-17,Back,Seated Cable rows,1,10,10,40.0,40,(Decrease weight to 35?),
2026-01-17,Back,Seated Cable rows,2,10,10,40.0,40,(Decrease weight to 35?),
2026-01-17,Back,Seated Cable rows,3,,10 (beginning to fail around 6 or 7),40.0,40,(Decrease weight to 35?),
2026-01-17,Back,Seated Cable rows,4,10,10,40.0,40,(Decrease weight to 35?),
2026-01-21,Back,Pull Ups 4/6/0 (with Negatives),1,6,6,0.0,0,Weak forearms Almost unable to go up after 4 sets,
2026-01-21,Back,Pull Ups 4/6/0 (with Negatives),2,7,7,0.0,0,Weak forearms Almost unable to go up after 4 sets,
2026-01-21,Back,Pull Ups 4/6/0 (with Negatives),3,,5+3 negatives,0.0,0,Weak forearms Almost unable to go up after 4 sets,
2026-01-21,Back,Pull Ups 4/6/0 (with Negatives),4,,3+4 negatives,0.0,0,Weak forearms Almost unable to go up after 4 sets,
2026-01-21,Back,T-bar rows,1,8,8,25.0,25,Should decrease weight to 20 and focus on proper form,Plan: 4/10/25
2026-01-21,Back,T-bar rows,2,8,8,25.0,25,Should decrease weight to 20 and focus on proper form,Plan: 4/10/25
2026-01-21,Back,T-bar rows,3,10,10/20kgs,20.0,25,Should decrease weight to 20 and focus on proper form,Plan: 4/10/25
2026-01-21,Back,T-bar rows,4,11,11/20kgs,20.0,25,Should decrease weight to 20 and focus on proper form,Plan: 4/10/25
2026-01-21,Back,Lat pull downs 4/12/,1,,test/30kgs ea,30.0,last set with 10/30kgs ea,4/9/35kgs seems to be optimal,
2026-01-21,Back,Lat pull downs 4/12/,2,10,10/35kgs ea,35.0,last set with 10/30kgs ea,4/9/35kgs seems to be optimal,
2026-01-21,Back,Lat pull downs 4/12/,3,10,10,,last set with 10/30kgs ea,4/9/35kgs seems to be optimal,
2026-01-21,Back,Lat pull downs 4/12/,4,8,8,,last set with 10/30kgs ea,4/9/35kgs seems to be optimal,
2026-01-21,Back,Seated Cable rows,1,8,8,40.0,40,Stop at chest (while including the stop 4/8/40 feels good for now),Plan: 4/10/40
2026-01-21,Back,Seated Cable rows,2,8,8,40.0,40,Stop at chest (while including the stop 4/8/40 feels good for now),Plan: 4/10/40
2026-01-21,Back,Seated Cable rows,3,,8 (beginning to fail at 6),40.0,40,Stop at chest (while including the stop 4/8/40 feels good for now),Plan: 4/10/40
2026-01-21,Back,Seated Cable rows,4,8,8,40.0,40,Stop at chest (while including the stop 4/8/40 feels good for now),Plan: 4/10/40
2026-01-21,Back,Pull down machine,1,8,8/42.5,42.5,,,
2026-02-01,Back,Pull Ups (with Negatives),1,6,6,0.0,0,Increase reps to 7,
2026-02-01,Back,Pull Ups (with Negatives),2,6,6,0.0,0,Increase reps to 7,
2026-02-01,Back,Pull Ups (with Negatives),3,,4+2,0.0,0,Increase reps to 7,
2026-02-01,Back,Pull Ups (with Negatives),4,,3+3,0.0,0,Increase reps to 7,
2026-02-01,Back,T-bar rows,1,10,10,20.0,20,Feels good! Ficus on proper form,
2026-02-01,Back,T-bar rows,2,10,10,20.0,20,Feels good! Ficus on proper form,
2026-02-01,Back,T-bar rows,3,10,10,20.0,20,Feels good! Ficus on proper form,
2026-02-01,Back,T-bar rows,4,,To failure (10),20.0,20,Feels good! Ficus on proper form,
2026-02-01,Back,Lat pull downs,1,9,9/35kgs ea,35.0,,,
2026-02-01,Back,Lat pull downs,2,10,10/30,30.0,,,
2026-02-01,Back,Lat pull downs,3,10,10/30,30.0,,,
2026-02-01,Back,Lat pull downs,4,,To failure (8),,,,
2026-02-01,Back,Seated Cable rows,1,4,4/40,40.0,30,vary weight IAW fatigue,Plan: 4/10/40
2026-02-01,Back,Seated Cable rows,2,10,10/30,30.0,30,vary weight IAW fatigue,Plan: 4/10/40
2026-02-01,Back,Seated Cable rows,3,10,10/30,30.0,30,vary weight IAW fatigue,Plan: 4/10/40
2026-02-01,Back,Seated Cable rows,4,,To failure (10),30.0,30,vary weight IAW fatigue,Plan: 4/10/40
2026-02-05,Back,Pull Ups,1,7,7,0.0,0,Extremely difficult after second set => longer rests,Plan: 4/7/0
2026-02-05,Back,Pull Ups,2,7,7,0.0,0,Extremely difficult after second set => longer rests,Plan: 4/7/0
